               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,             0.01044,           0.0078727,          0.00012981,             0.95708,             0.99621,             0.99042,              0.8153,            0.012804,           0.0096139,          9.9809e-05,            0.001486,            0.001486,            0.001486
                  88,            0.010682,           0.0080965,          0.00018567,              0.9662,             0.99561,              0.9915,              0.8096,            0.012809,           0.0096248,          6.9953e-05,            0.001387,            0.001387,            0.001387
                  89,             0.01042,           0.0077153,          0.00010385,             0.95439,             0.99558,             0.98732,             0.80464,            0.012856,           0.0096036,          0.00010877,            0.001288,            0.001288,            0.001288
                  90,            0.010448,           0.0077474,          0.00010467,             0.96382,              0.9955,             0.99062,             0.81504,            0.012835,           0.0095449,           6.421e-05,            0.001189,            0.001189,            0.001189
                  91,             0.01018,             0.00782,          0.00010436,             0.95366,             0.98611,             0.99002,             0.80593,            0.012965,           0.0097322,          7.8834e-05,             0.00109,             0.00109,             0.00109
                  92,            0.010116,           0.0075995,          9.9002e-05,             0.95139,             0.99706,             0.99051,             0.80507,            0.012822,           0.0097917,          8.3921e-05,            0.000991,            0.000991,            0.000991
                  93,            0.010062,           0.0078058,          9.4205e-05,             0.95216,              0.9985,             0.99132,             0.80713,            0.012805,           0.0098738,          7.8775e-05,            0.000892,            0.000892,            0.000892
                  94,            0.010208,            0.007675,           9.491e-05,              0.9543,             0.99719,             0.99097,             0.81064,            0.012739,           0.0097806,          8.4074e-05,            0.000793,            0.000793,            0.000793
                  95,            0.010082,           0.0077307,          0.00016528,             0.95204,             0.99708,             0.98976,             0.81319,            0.012784,           0.0097052,          8.8469e-05,            0.000694,            0.000694,            0.000694
                  96,            0.010012,            0.007605,          0.00011778,             0.95347,             0.99854,             0.99134,             0.80947,            0.012671,           0.0096272,          6.3755e-05,            0.000595,            0.000595,            0.000595
                  97,           0.0098288,           0.0074608,          0.00010857,             0.95562,             0.99546,             0.99057,             0.81334,            0.012723,           0.0097342,          6.4505e-05,            0.000496,            0.000496,            0.000496
                  98,            0.009851,           0.0075163,          7.7034e-05,             0.96751,              0.9879,             0.99156,             0.81052,            0.012705,            0.009821,           5.594e-05,            0.000397,            0.000397,            0.000397
                  99,           0.0097325,           0.0073821,          8.8094e-05,             0.95484,             0.99852,             0.99134,             0.81463,            0.012634,           0.0097284,          5.9273e-05,            0.000298,            0.000298,            0.000298
